Degree,Subject,Early_Career_Salary,Job_Growth
Bachelors,Accounting,,
Bachelors,Aerospace Engineering,,
Bachelors,Biomedical Engineering,,
Bachelors,Business Administration,,
Bachelors,Chemical Engineering,,
Bachelors,Civil Engineering,,
Bachelors,Cognitive Science,,
Bachelors,Computer Engineering,,
Bachelors,Computer Science,,
Bachelors,Economics,,
Bachelors,Electrical Engineering,,
Bachelors,Electronics Engineering,,
Bachelors,Finance,,
Bachelors,Industrial Engineering,,
Bachelors,Information Technology,,
Bachelors,Management Information Systems,,
Bachelors,Marine Engineering,,
Bachelors,Mathematics,,
Bachelors,Mechanical Engineering,,
Bachelors,Nursing,,
Bachelors,Petroleum Engineering,,
Bachelors,Pharmacy,,
Bachelors,Physics,,
Bachelors,Statistics,,
Bachelors,Systems Engineering,,
