Degree,Subject,Early_Career_Salary,Job_Growth,x,x.1,x.2
Masters,Business Administration,,,0.0,0.0,0.0
Masters,Chemical Engineering,,,0.0,0.0,0.0
Masters,Computer Engineering,,,0.0,0.0,0.0
Masters,Economics,,,0.0,0.0,0.0
Masters,Engineering,,,0.0,0.0,0.0
Masters,Finance,,,0.0,0.0,0.0
Masters,Healthcare Administration,,,0.0,0.0,0.0
Masters,Industrial Engineering,,,0.0,0.0,0.0
Masters,Information Sciences,,,0.0,0.0,0.0
Masters,Marketing,,,0.0,0.0,0.0
Masters,Mathematician,,,0.0,0.0,0.0
Masters,Medicine,,,0.0,0.0,0.0
Masters,Petroleum Engineering,,,0.0,0.0,0.0
Masters,Physicians Assistant,,,0.0,0.0,0.0
Masters,Software Engineering,,,0.0,0.0,0.0
