Degree,Subject,Median_Debt,Degree_Type
Bachelors,Accounting,24086.00,Bachelors
Bachelors,Aerospace Engineering,25233.00,Bachelors
Bachelors,Biomedical Engineering,24372.00,Bachelors
Bachelors,Business Administration,24351.00,Bachelors
Bachelors,Chemical Engineering,23821.00,Bachelors
Bachelors,Civil Engineering,24615.00,Bachelors
Bachelors,Cognitive Science,18131.00,Bachelors
Bachelors,Computer Engineering,26468.00,Bachelors
Bachelors,Computer Science,22283.00,Bachelors
Bachelors,Economics,20700.00,Bachelors
Bachelors,Electrical Engineering,32821.00,Bachelors
Bachelors,Electronics Engineering,24616.00,Bachelors
Bachelors,Finance,22792.00,Bachelors
Bachelors,Industrial Engineering,24156.00,Bachelors
Bachelors,Information Technology,27955.00,Bachelors
Bachelors,Management Information Systems,24005.00,Bachelors
Bachelors,Marine Engineering,28586.00,Bachelors
Bachelors,Mathematics,21704.00,Bachelors
Bachelors,Mechanical Engineering,24504.00,Bachelors
Bachelors,Nursing,22592.00,Bachelors
Bachelors,Petroleum Engineering,26421.00,Bachelors
Bachelors,Pharmacy,25740.00,Bachelors
Bachelors,Physics,22763.00,Bachelors
Bachelors,Statistics,22005.00,Bachelors
Bachelors,Systems Engineering,23047.00,Bachelors
